species,eventDate,decimalLongitude,decimalLatitude
Bathylagus antarcticus,2008-03-04,-57.4887,-60.0058
Bathylagus antarcticus,2008-03-04,-57.4786,-61.2491
Bathylagus antarcticus,2008-03-04,-57.4792,-61.4988
Bathylagus antarcticus,2008-03-04,-57.4874,-61.7499
Bathylagus antarcticus,2008-03-05,-57.9892,-62.2494
Bathylagus antarcticus,2008-03-05,-56.9804,-62.2498
Bathylagus antarcticus,2008-03-06,-58.4854,-62.5009
Bathylagus antarcticus,2008-03-06,-60.0075,-62.7513
Bathylagus antarcticus,2008-03-06,-59.5091,-62.5037
Bathylagus antarcticus,2008-03-07,-59.9899,-63.2532
Bathylagus antarcticus,2008-03-07,-60.9906,-63.2587
Bathylagus antarcticus,2008-03-07,-60.4391,-63.0262
Bathylagus antarcticus,2008-11-29,169.57,-49.03
Bathylagus antarcticus,2008-12-09,167.25,-52.13
Bathylagus antarcticus,2008-12-17,166.91,-46.82
Bathylagus antarcticus,2009-03-16,-48.46469,-60.46653
Bathylagus antarcticus,2009-03-16,-48.2467,-60.491
Bathylagus antarcticus,2009-03-19,-44.3114,-60.2765
Bathylagus antarcticus,2009-03-19,-44.2762,-60.235
Bathylagus antarcticus,2009-03-19,-44.3205,-60.297
Bathylagus antarcticus,2009-03-20,-44.1661,-59.7347
Bathylagus antarcticus,2009-03-20,-44.0789,-59.7053
Bathylagus antarcticus,2009-03-20,-44.1127,-59.7101
Bathylagus antarcticus,2011-03-01,-57.467,-62.5153
Bathylagus antarcticus,2019-01-05,109.9688,-44.9917
Bathylagus antarcticus,2019-01-09,109.985,-60.004
Bathylagus antarcticus,2019-01-10,109.961,-61
Bathylagus antarcticus,2019-01-11,109.999,-62.002
Bathylagus antarcticus,2019-01-11,109.98,-61.98
Bathylagus antarcticus,2019-01-12,109.999,-60.998
Bathylagus antarcticus,2019-01-12,109.994,-60.997
Bathylagus antarcticus,2019-01-13,109.96,-63.483
Bathylagus antarcticus,2019-01-14,109.995,-64.997
Bathylagus antarcticus,2019-01-15,109.992,-64.994
Bathylagus antarcticus,2019-01-18,110.016,-63.454
Bathylagus antarcticus,2019-01-18,109.529,-63.458
Bathylagus antarcticus,2019-03-24,-8.53799,-40.2208
Bathylagus antarcticus,2019-03-25,-8.65278,-40.0852
